username,mediacount,followers,followees,has_viewable_story,language,new_feature
its.luciifer,0,17,30,0,5,42
beingsalmankhan,1393,66952150,38,0,5,42
its.luciifer,0,17,30,0,5,42
beingsalmankhan,1394,66978111,38,1,5,42
shaikh_abusalman,11,2339,93,0,5,42
shaikh_abusalman,11,2339,93,0,5,42
kuruma_beast_6925,0,28,44,1,5,42
heenagohil_1584,1,249,289,0,5,42
beast__kuruma,0,8,19,0,5,42
beingsalmankhan,1396,67007762,38,1,5,42
faiz_udheja,5,48,45,0,5,42
faiz_udheja,5,48,45,0,5,42
faiz_udheja,5,48,45,0,5,42
nyx.ynn,6,43,38,0,5,42
nyx.ynn,5,44,39,0,5,42
nyx.ynn,5,44,39,0,5,42
nyx.ynn,5,44,39,0,5,42
nyx.ynn,5,44,39,0,5,42
nyx.ynn,5,44,39,0,5,42
officialtejas_09,138,954,1109,1,5,42
officialtejas_09,138,954,1109,1,5,42
nyx.ynn,5,46,41,0,5,42
nyx.ynn,3,45,40,0,5,42
beingsalmankhan,1413,67540449,38,0,5,42
yokunjchill,1,346,325,0,5,42
nyx.ynn,3,45,40,0,5,42
anas_memon_734,1,149,274,0,5,42
beingsalmankhan,1414,67898276,38,0,5,42
priyanka_06_02_04,0,3,11,0,5,42
nyx.ynn,3,32,27,0,5,42
nyx.ynn,3,32,27,0,5,42
beingsalmankhan,1417,68689648,38,0,5,42
